,abv,ibu,diff_g,boil_time,efficiency,ferm_total_weight,ferm_type_base_malt,ferm_type_crystal_malt,ferm_type_roasted_malt,ferm_type_other,ferm_type_extract,ferm_type_sugar,ferm_type_raw,ferm_type_acidulated_malt,ferm_type_fruit,ferm_type_gluten_free_malt,hops_type_pellet,hops_type_leaf_whole,hops_type_plug,other_type_spice,other_type_water_agt,other_type_other,other_type_fining,other_type_flavor,other_type_herb,yeast_attenuation,method_all_grain,method_biab,method_extract,method_partial_mash,yeast_form_dry,yeast_form_liquid,yeast_flocculation_high,yeast_flocculation_low,yeast_flocculation_medium
26543,7.47,44.2,0.05700000000000016,60,35.0,9.9,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.10625,0.0,0.0,0,0,0,0,0,0,76.5,0,0,1,0,0,1,0,0,1
26825,7.07,59.94,13.016539999999999,70,76.0,13.227719999999998,8.818480000000003,3.3069299999999995,0.0,0.0,0.0,0.0,1.10231,0.0,0.0,0.0,0.2645544,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
27062,5.82,6.01,0.04400000000000004,60,60.0,11.5,10.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,1,0,0,1,0,0,69.0,0,1,0,0,0,1,1,0,0
27076,4.61,24.23,0.03500000000000014,60,35.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0,0,0,0,0,0,72.0,0,0,1,0,0,1,0,0,1
27131,6.3,24.79,0.04800000000000004,60,70.0,15.829171599999999,13.227719999999998,1.10231,0.7054784000000001,0.0,0.0,0.0,0.2645544,0.0,0.0,0.0,0.13889106,0.0,0.0,1,0,0,0,0,0,77.5,1,0,0,0,1,0,0,0,1
27353,5.45,16.69,0.04200000000000004,60,70.0,14.05,6.8,0.5,0.25,0.0,0.0,1.0,0.5,0.0,5.0,0.0,0.0,0.078125,0.0,0,0,0,0,0,0,77.0,1,0,0,0,1,0,1,0,0
27966,7.63,63.1,0.05800000000000005,60,68.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203125,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
27973,2.63,28.83,0.020000000000000018,90,35.0,11.574255,8.818480000000003,1.10231,1.6534649999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,1,0,1,0,0
28048,5.63,36.45,0.04299999999999993,60,75.0,9.5,8.1,0.68,0.32,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.03125,0.0,0.0,0,0,0,0,1,0,78.0,1,0,0,0,1,0,1,0,0
28201,5.73,46.95,0.04300000000000015,60,72.0,14.330029999999999,13.22772,1.10231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220462,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
28263,6.02,78.98,11.09041,60,82.0,13.227719999999998,8.818480000000003,1.984158,2.20462,0.110231,0.0,0.0,0.0,0.110231,0.0,0.0,0.29762370000000005,0.0,0.0,0,1,1,1,0,0,76.5,1,0,0,0,0,1,0,0,1
28266,5.33,32.11,0.040000000000000036,60,35.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0,0,0,1,0,0,73.0,0,0,1,0,0,1,0,0,1
28293,5.41,23.21,0.040999999999999925,60,75.0,9.63,8.0,1.0,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0,0,0,1,0,0,75.0,1,0,0,0,1,0,1,0,0
28499,7.16,85.88,0.053999999999999826,60,75.0,12.75,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4125,0.0,0.0,0,0,0,0,1,0,81.0,1,0,0,0,1,0,0,0,1
28661,8.05,60.79,0.062000000000000055,60,66.0,14.330029999999999,13.227719999999998,0.0,0.0,0.0,0.0,0.0,1.10231,0.0,0.0,0.0,0.440924,0.0,0.0,0,1,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
28821,5.31,19.22,0.040000000000000036,90,58.0,12.169502399999995,11.684486,0.48501640000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07054784,0.03968316,0.0,0,0,0,0,0,0,82.0,1,0,0,0,1,0,1,0,0
28833,7.58,17.52,0.05800000000000005,60,75.0,15.807125400000002,14.5945844,0.881848,0.33730686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09479866,0.0,0.0,0,0,0,0,0,0,73.0,0,1,0,0,1,0,0,1,0
28888,9.75,52.52,0.07400000000000007,60,65.0,29.0,24.0,1.0625,3.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0,0,0,0,0,0,81.0,0,1,0,0,1,0,0,0,1
28953,4.58,30.73,0.03499999999999992,60,70.0,17.5,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0,0,0,0,1,0,76.5,1,0,0,0,0,1,0,0,1
29081,5.75,24.97,0.04400000000000026,75,73.0,13.5,10.9,1.0499999999999998,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08124999999999999,0.0,0.0,1,0,0,0,1,0,75.0,1,0,0,0,0,1,0,1,0
29154,7.79,97.59,0.05899999999999994,60,75.0,15.5,13.5,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.80625,0.0,0.0,0,0,0,0,0,0,81.0,0,1,0,0,1,0,0,0,1
29169,10.33,118.35,0.07899999999999996,60,72.0,19.5,16.0,0.75,2.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.15625,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
29325,4.62,39.43,0.03500000000000014,60,73.0,10.5,8.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265625,0.0,0.0,0,1,0,0,0,0,75.0,0,1,0,0,1,0,1,0,0
29495,5.7,64.53,0.04300000000000015,60,70.0,11.0231,11.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15873264000000006,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,0,1,0,0,1
29513,5.27,23.37,0.04100000000000015,90,35.0,8.1,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0,0,0,0,0,0,75.0,0,0,1,0,0,1,0,0,1
29599,10.46,42.16,0.08000000000000007,60,35.0,13.2,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0,0,0,0,0,0,74.0,0,0,1,0,0,1,1,0,0
29963,7.59,148.86,0.05800000000000005,90,65.0,10.06,8.0,0.0,2.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24691744,0.0,0.0,0,0,0,0,0,0,74.0,1,0,0,0,0,1,0,0,1
30028,4.67,25.74,0.03500000000000014,60,73.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096875,0.0,0.0,0,0,0,0,0,0,72.0,1,0,0,0,1,0,1,0,0
30300,7.0,89.41,0.05300000000000016,60,35.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.071875,0.0,0.0,0,0,0,0,0,0,72.0,0,0,1,0,1,0,1,0,0
30472,6.19,38.19,0.04700000000000015,60,70.0,23.14851,17.636960000000006,2.20462,0.0,0.0,0.0,3.3069299999999995,0.0,0.0,0.0,0.0,0.2645544,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,0,1,0,0,1
30483,7.25,79.94,0.05499999999999994,55,57.0,14.330029999999999,13.227719999999998,0.0,0.0,0.0,0.0,0.0,1.10231,0.0,0.0,0.0,0.33951148,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
30504,5.29,24.11,0.040999999999999925,60,80.0,11.55,10.05,1.1875,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,0,0,0,76.5,1,0,0,0,0,1,0,0,1
30506,7.64,67.86,0.05800000000000005,60,68.0,11.750624599999998,7.716169999999999,1.82101612,0.0,0.0,0.0,0.0,0.0,0.0,2.20462,0.0,0.3086468,0.08818480000000001,0.0,0,0,0,0,0,0,81.0,0,1,0,0,1,0,0,0,1
30582,6.89,53.26,0.050999999999999934,60,35.0,2.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.01763696,0.0,0.0,0,0,0,0,0,1,70.0,0,0,1,0,1,0,1,0,0
30682,4.09,8.19,0.030999999999999917,90,84.0,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06172936,0.06172936,0.0,0,1,0,0,0,0,86.0,1,0,0,0,1,0,0,1,0
30836,5.82,47.43,0.04400000000000004,60,62.0,7.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0,0,0,0,0,0,75.0,1,0,0,0,0,1,0,0,1
30880,6.29,27.87,0.04800000000000004,60,75.0,13.45,11.25,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904948,0.0,0.0,0,0,0,0,1,0,81.0,1,0,0,0,1,0,0,0,1
30965,5.97,34.63,0.04600000000000004,60,75.0,11.684485999999998,8.928710999999998,0.0,0.0,0.0,0.0,0.881848,1.8739270000000001,0.0,0.0,0.0,0.440924,0.011023100000000001,0.0,0,0,0,0,1,0,78.0,1,0,0,0,1,0,1,0,0
30973,6.11,52.87,0.04699999999999993,70,35.0,7.5,0.0,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,0.0,0.196875,0.0,0.0,0,0,0,0,0,0,81.0,0,0,1,0,1,0,0,0,1
30988,5.11,0.0,0.039000000000000146,60,72.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,81.0,1,0,0,0,1,0,0,0,1
31169,9.45,23.3,0.07200000000000006,60,75.0,9.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0,0,0,0,1,0,74.0,0,0,1,0,0,1,1,0,0
31179,4.67,238.87,0.03600000000000003,90,70.0,9.391681199999999,3.3069299999999995,0.6613859999999999,0.35273920000000003,0.0,4.4092400000000005,0.6613859999999999,0.0,0.0,0.0,0.0,0.0551155,0.4629702,0.0,0,0,0,0,1,0,75.0,1,0,0,0,1,0,1,0,0
31230,5.63,16.14,0.04200000000000026,60,80.0,1.9400656000000003,1.873927,0.0551155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01984158,0.0,0.0,0,0,0,0,0,0,86.0,1,0,0,0,1,0,0,1,0
31298,4.89,14.93,0.037000000000000144,90,35.0,5.952474,0.0,0.0,0.0,0.0,5.952473999999999,0.0,0.0,0.0,0.0,0.0,0.24250820000000006,0.0,0.0,0,0,0,0,0,0,81.0,0,0,1,0,1,0,0,0,1
31486,4.27,0.0,0.03300000000000014,0,100.0,5.34,0.0,0.0,0.0,0.0,0.0,5.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,75.0,0,1,0,0,0,1,0,0,1
31541,5.56,23.5,0.04200000000000004,60,35.0,18.63,14.0,0.0,3.6,0.0,1.0,0.0,0.0,0.0,0.025,0.0,0.1875,0.0,0.0,0,0,0,0,0,0,87.5,1,0,0,0,1,0,0,0,1
